Time [s],CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10
0,"20,9","20,7","20,7",25,"24,9","24,9","19,6","19,9","19,9","20,9"
1,"20,9","20,7","20,7",25,"24,9","24,9","19,65","19,9","19,9","20,9"
2,"20,9","20,7","20,7",25,"24,9","24,9","19,7","19,9","19,9","20,9"
3,"20,9","20,7","20,7",25,"24,9","24,9","19,7","19,9","19,9","20,9"
4,"20,9","20,7","20,7",25,"24,9","24,9","19,7","19,9","19,9","20,9"
5,"20,9","20,7","20,7",25,"24,9","24,9","19,7","19,9","19,9","20,9"
6,"20,9","20,7","20,7",25,"24,9","24,9","19,7","19,9","19,9","20,9"
7,"20,9","20,7","20,7","24,95","24,9","24,9","19,7","19,9","19,9","20,9"
8,"20,9","20,7","20,7",25,"24,9","24,9","19,7","19,9","19,9","20,9"
9,"20,9","20,7","20,7","24,95","24,9","24,9","19,7","19,9","19,9","20,95"
10,"20,9","20,7","20,7",25,"24,9","24,9","19,7","19,9","19,9","20,95"
11,"20,9","20,7","20,7","24,95","24,9","24,85","19,7","19,9","19,9","20,9"
12,"20,9","20,7","20,7","24,95","24,9","24,9","19,7","19,9","19,9","20,95"
13,"20,9","20,7","20,7",25,"24,9","24,9","19,7","19,9","19,9",21
14,"20,9","20,7","20,7",25,"24,9","24,9","19,75","19,95","19,95",21
15,"20,9","20,7","20,7",25,"24,9","24,9","19,8",20,"19,95","21,05"
16,"20,9","20,7","20,7",25,"24,9","24,9","19,8",20,20,"21,15"
17,"20,9","20,7","20,7","24,95","24,9","24,9","19,8",20,20,"21,2"
18,"20,9","20,7","20,7","24,95","24,9","24,9","19,85",20,20,"21,3"
19,"20,9","20,7","20,7","24,95","24,9","24,9","19,9","20,05","20,05","21,5"
20,"20,9","20,7","20,7",25,"24,9","24,9","19,95","20,15","20,15","21,8"
21,"20,9","20,7","20,7","24,95","24,9","24,9","20,05","20,2","20,4","22,25"
22,"20,9","20,7","20,7",25,"24,9","24,9","20,2","20,35",21,"22,8"
23,"20,9","20,7","20,7",25,"24,95","24,9","20,35","20,55","21,8","23,5"
24,"20,9","20,7","20,8",25,25,"24,9","20,55","20,8","22,7","24,15"
25,"20,9","20,75","20,8",25,25,"24,9","20,75","21,15","23,75","24,9"
26,"20,95","20,8","20,8",25,25,"24,9",21,"21,45","24,8","25,55"
27,21,"20,8","20,85","25,05",25,"24,9","21,3","21,85","25,85","26,3"
28,21,"20,8","20,9","25,05",25,"24,9","21,75","22,25","26,7","27,05"
29,21,"20,85","20,95","25,1",25,"24,9","22,3","22,65","27,55","27,85"
30,21,"20,9",21,"25,1","25,05","24,9","22,85","23,15","28,3","28,6"
31,"21,05","20,95","21,05","25,1","25,1","24,95","23,45","23,75","28,95","29,4"
32,"21,1",21,"21,15","25,15","25,1",25,"24,05","24,3","29,8","30,3"
33,"21,1","21,05","21,25","25,2","25,15",25,"24,75","25,05","30,8","31,2"
34,"21,15","21,1","21,35","25,2","25,15",25,"25,55",26,"31,9","32,25"
35,"21,2","21,15","21,45","25,25","25,2","25,05","26,3","27,25","33,05","33,55"
36,"21,25","21,25","21,55","25,3","25,25","25,1","27,3","28,9","34,3",35
37,"21,3","21,35","21,65","25,35","25,3","25,1","28,5","30,8","35,75","36,75"
38,"21,35","21,4","21,75","25,4","25,3","25,15","29,9","32,9","37,45","38,9"
39,"21,45","21,5","21,85","25,45","25,35","25,2","31,65","35,25","39,45","41,25"
