time[s],bar1,bar2,BAR1,BAR2,BAR3,BAR4
0,"52,7","53,1",30,"33,3","29,9","37,6"
10,"59,4","59,2","33,3","36,7",33,"41,3"
20,64,"63,3","35,4","38,4","34,8","43,6"
30,"70,3","68,7","37,8","40,3","36,7","46,7"
40,"75,5","73,3","39,8","41,3","38,1","49,3"
50,80,"77,2","41,5","42,8","39,5","51,6"
60,"82,5","79,5","42,5",44,"40,5","53,1"
70,"85,9","82,6","43,9",45,"41,8","54,9"
80,89,"85,3",45,"46,6",43,"56,5"
90,"90,8","86,9","45,7","47,7","43,6","57,4"
100,"93,3","89,1","46,6","48,7","44,4","58,7"
110,"95,8","91,4","47,5","50,2","45,3","59,9"
120,"97,3",93,"48,3","51,1",46,"60,7"
130,"99,1",95,"49,3","52,4","47,1","61,7"
140,"100,9","96,8","50,3","53,4","48,4","63,1"
150,"102,2","97,8","51,1",54,"48,9","63,9"
160,"103,7",99,52,"55,8","49,7","64,7"
170,"105,1","100,2","52,9","56,6","50,6","65,5"
180,106,"101,4","53,7","57,7","51,7","66,3"
190,"106,7","102,2","54,2","58,3","52,4","66,9"
200,"107,8","103,4","55,3","59,5","53,3","68,1"
210,109,"104,6","56,1","60,7","54,2","68,9"
220,"109,8","105,4","56,6","60,7","54,8","69,5"
230,"110,9","106,7","57,4",62,"55,5","70,6"
240,"111,9",108,58,63,"56,4","71,5"
250,"113,2",109,"58,9","64,2","57,5","72,6"
260,"113,9","109,7","59,7","65,1","58,2","73,3"
270,"115,2","110,9","60,9",66,"59,3","74,3"
280,"116,6","112,2","61,9",67,"60,3","75,2"
290,"117,6","112,9","62,7","67,8","61,1","75,9"
300,"118,9","114,2","63,7","68,2","61,6","76,6"
310,"120,1","115,6","64,5","69,4","62,5","77,7"
320,"121,2","116,9","65,4","70,3","63,7","78,7"
330,"121,7","117,7",66,"70,9","64,5","79,2"
340,"122,9","118,9",67,"72,1","65,4","80,2"
350,124,120,"67,8","72,8","66,3","81,4"
360,"124,8","120,9","68,5","73,2",67,82
370,126,"121,8","69,2","74,2",68,83
380,"127,2","123,2","70,1",75,69,84
390,"128,3","124,3","70,9","76,1","69,8","84,8"
400,129,"125,1","71,6","76,6","70,4","85,5"
410,130,"126,3","72,3","77,4",71,"86,2"
420,"130,9","127,4","73,8","78,8","72,1","87,3"
430,"131,4","128,2","74,5","79,6","72,6","87,9"
440,"132,3","129,6","75,4",81,"73,5","88,7"
450,"133,3","130,7","76,2","82,4","74,5","89,4"
